DEPTH,SP,GR,CALI,BitSize,LL8,ILM,ILD,RHOB,NPHI,DT,PHIX,RHOMAT,MBVI,MPHI,DEPT,vshgr,vshnd,vshsp,vshnmphi,vsh,PHISw,PHISwshc,PHISrhg,PHISrhgshc,PHID,PHIDshc,PHIN,PHINshc,PHIxND,PHIT,CBWa,CBW,PHIE,Swb,Qv,Mstarapp,Sw_archie,BVW,Sw_dw,CBVWE,Sw_ws,WSCBVWE,matrix
4500.0,-15.812999999999999,93.31200000000001,10.179,10,0.52,0.563,0.562,2.213,0.49431,40,0.3675118,2.859717,0.15893,0.16844,4500.0,0.6441600000000002,0.6697141577060935,0.6837399999999999,1.0183437499999999,1.0,-0.1169811320754717,0.0,-0.2421875,0.0,0.2819354838709677,0.2819354838709677,0.49431,0.17431000000000002,0.22812274193548385,0.38812274193548385,0.21968274193548384,0.215,0.17312274193548385,0.5539484724029354,2.0345841614597475,3.6649443292555444,0.5415272154976474,0.21017902771163455,0.7402992253922751,0.0723269652119646,0.7976159169387171,0.09457287669364003,0.6118772580645162
4500.5,-16.5108,90.0702,10.1923,10,0.5398,0.5687,0.5587,2.2048,0.47387799999999997,40,0.3678134,2.847585,0.16643,0.17585,4500.5,0.600936,0.5976754480286739,0.6697839999999999,0.9313374999999998,0.9313374999999998,-0.1169811320754717,0.0,-0.2421875,0.0,0.28722580645161283,0.28722580645161283,0.47387799999999997,0.17585,0.23153790322580642,0.3805519032258064,0.2047019032258064,0.20023756249999997,0.18031434072580643,0.5261767469894532,1.9325820520982473,3.562292295682229,0.5528391406510652,0.21038398715248213,0.7472439858132875,0.08412755847528408,0.7891525605803557,0.10007594636437284,0.6194480967741937
4501.0,-16.875,85.34100000000001,10.294,10,0.574,0.5720000000000001,0.557,2.199,0.42417,40,0.37198400000000004,2.849955,0.169075,0.178725,4501.0,0.5378800000000001,0.4487876344086019,0.6625,0.767015625,0.767015625,-0.1169811320754717,0.0,-0.2421875,0.0,0.29096774193548397,0.29096774193548397,0.42417,0.178725,0.23484637096774197,0.357568870967742,0.17884387096774199,0.16490835937499998,0.192660511592742,0.46119327705648394,1.6939058118537507,3.2938053814019623,0.5856110958237603,0.2093962983598841,0.7709683680622792,0.11076592954487174,0.7810132649644131,0.11435767198915514,0.642431129032258
4501.5,-17.823,82.2392,10.5195,10,0.6068,0.5722,0.5532,2.1918,0.40841700000000003,40,0.3692382,2.830923,0.17172,0.1816,4501.5,0.4965226666666666,0.39160994623655954,0.64354,0.7088031250000001,0.7088031250000001,-0.1169811320754717,0.0,-0.2421875,0.0,0.2956129032258063,0.2956129032258063,0.40841700000000003,0.18159999999999998,0.23860645161290314,0.3520149516129032,0.17041495161290318,0.15239267187500002,0.19962227973790317,0.43291533833079954,1.590044443664694,3.215732036315503,0.5959564746093873,0.20978558957301982,0.7763957607377502,0.12091024427356226,0.7700244009110374,0.11866743035245356,0.6479850483870968
4502.0,-18.188,83.045,10.512,10,0.616,0.568,0.5489999999999999,2.186,0.4165,40,0.3727531,2.8313759999999997,0.17489000000000002,0.18569000000000002,4502.0,0.5072666666666666,0.4032526881720428,0.63624,0.7212812499999999,0.7212812499999999,-0.1169811320754717,0.0,-0.2421875,0.0,0.29935483870967744,0.29935483870967744,0.4165,0.18569000000000002,0.24252241935483873,0.35792741935483874,0.17223741935483872,0.15507546874999997,0.20285195060483877,0.43325953912534065,1.5913086505716965,3.2607245342118256,0.589330588024845,0.21093757651860237,0.7671734454439508,0.11951694277531352,0.7586704819178611,0.11647349898355189,0.6420725806451613
4502.5,-19.3233,88.2263,10.3847,10,0.5658,0.5548,0.5462,2.193,0.42687700000000006,40,0.3722355,2.8410990000000003,0.17673,0.18864,4502.5,0.5763506666666666,0.4451242831541222,0.613534,0.7444906250000002,0.7444906250000002,-0.1169811320754717,0.0,-0.2421875,0.0,0.2948387096774193,0.2948387096774193,0.42687700000000006,0.18864,0.24173935483870967,0.3608578548387097,0.1722178548387097,0.16006548437500004,0.20079237046370965,0.4435693507254913,1.6291753122456774,3.290116607789089,0.5865191988579818,0.21165005992160987,0.7650780207341192,0.1160189289713601,0.7641936976127273,0.11569981402679028,0.6391421451612903
4503.0,-20.0,90.338,10.427999999999999,10,0.515,0.544,0.542,2.193,0.42796000000000006,40,0.372269,2.841192,0.17798,0.19038,4503.0,0.6045066666666666,0.44813261648745556,0.6,0.7424375000000002,0.7424375000000002,-0.1169811320754717,0.0,-0.2421875,0.0,0.2948387096774193,0.2948387096774193,0.42796000000000006,0.19038,0.24260935483870966,0.36139935483870966,0.17101935483870967,0.15962406250000005,0.2017752923387096,0.4416833078499526,1.6222481102520345,3.2858597855483014,0.5879932607312632,0.21250038507778773,0.765727732545269,0.11710944602396822,0.7649987864700524,0.1168460053826727,0.6386006451612903
4503.5,-19.6772,97.2877,10.3208,10,0.4573,0.5329999999999999,0.5358,2.2003,0.44871700000000003,40,0.36871129999999996,2.842943,0.17767,0.18999000000000002,4503.5,0.6971693333333333,0.5193966845878135,0.606456,0.8085218750000001,0.8085218750000001,-0.1169811320754717,0.0,-0.2421875,0.0,0.2901290322580645,0.2901290322580645,0.44871700000000003,0.18999,0.24005951612903226,0.3694230161290323,0.17943301612903226,0.173832203125,0.19559081300403228,0.4705505491955698,1.7282739140096577,3.370276812433581,0.5798126922506034,0.2141961535611123,0.7624569798171358,0.10783695402767898,0.7804231078316711,0.11447405522696893,0.6305769838709677
4504.0,-18.688,98.196,10.24,10,0.474,0.528,0.53,2.197,0.46225,40,0.36868490000000004,2.837643,0.176285,0.188595,4504.0,0.70928,0.5508378136200718,0.62624,0.8551718749999999,0.8551718749999999,-0.1169811320754717,0.0,-0.2421875,0.0,0.29225806451612896,0.29225806451612896,0.46225,0.188595,0.24042653225806448,0.3772540322580645,0.18865903225806446,0.18386195312499998,0.1933920791330645,0.4873690866191387,1.790046319866246,3.4453723292343237,0.572073975085974,0.2158172138510832,0.7566733845959392,0.10159613231617531,0.7837119016670354,0.11179652190752487,0.6227459677419356
4504.5,-18.9167,100.2713,10.2073,10,0.5235,0.5247,0.5187,2.1935,0.46912200000000004,40,0.36895359999999994,2.832836,0.1749,0.1872,4504.5,0.7369506666666666,0.563403405017921,0.621666,0.88100625,0.88100625,-0.1169811320754717,0.0,-0.2421875,0.0,0.29451612903225816,0.29451612903225816,0.46912200000000004,0.18720000000000003,0.2408580645161291,0.3818190645161291,0.19461906451612912,0.18941634375,0.19240272076612913,0.49608927723408247,1.8220745004533554,3.4731703548667126,0.5720456073038201,0.21841791864130558,0.757923990697168,0.09997348535232403,0.7932229192934054,0.11345128924736103,0.6181809354838708
